Nº RNC	DESENHO	MP	REVISÃO	POS	CV	EQUIPAMENTO	CONJUNTO	MODELO	DESCRIÇÃO DO DESENHO	QUANTIDADE	CLIENTE	MATERIAL	ORDEM DE COMPRA	RESPONSÁVEL	INSPETOR	DATA EMISSÃO	ÁREA RESPONSÁVEL	SETOR	DESCRIÇÃO DA RNC	INSTRUÇÃO PARA RETRABALHO	CAUSA DA RNC	JUSTIFICATIVA	VALOR
32501	P19702G8101R057	2	1		040.951	Rolo de sucção	Conjunto mangueiras		Niples	01	Isidoro e Moraes	AISI304		Joacir	Ronaldo	16-Jul-24	Engenharia		"Erro na liberação do material, saiu 1020 precisa ser inox."	Conforme R1.	Erro.		R$ 100.00
32502	P00103017302G001	3	1		040.061	Cilindro secador	Raspador de corte		Corpo	01	Abbaspel	SAE1020		Daiane Pedroso Bueno	Ronaldo	16-Jul-24	Engenharia		Corrigido descrição da cor.	Conforme R1.	Erro.		R$ 100.00
32503	P0010317301G001	3	1		040.061	Cilindro secador	Raspador crepador		Corpo	01	Abbaspel	SAE1020		Daiane Pedroso Bueno	Ronaldo	16-Jul-24	Engenharia		Corrigido descrição da cor.	Conforme R1.	Erro.		R$ 100.00
32504	P32801M7001X000	1	1		040.791	Rebobinadeira	Montagem		Ficador de tubetes	01	Penha B.A.	SAE1020		João Vitor Pucci	Ronaldo	16-Jul-24	Engenharia		"Aumentado quantidade da posição 15 de 8 para 16, revisado kit graxeiro, aumentado quantidade da psoição 31 de 02 para 04 e adicioando posições."	Conforme R1.	Erro.		R$ 100.00
32505	P26600L2401P020	1	1		040.205	Desneolador duplo	Passagem de ponta		Suporte modulo 1	01	MR Paper	SAE1020		Cintia das Graças Kosiba	Ronaldo	17-Jul-24	Engenharia		Acrescentar recorte para livrar interferência com aprafusos da coluna.	Conforme R1.	Alteração de projeto.		R$ 100.00
32507	P0010317301P007	3	1		040.061	Raspador de crepe	Porta lamina		Parafuso trava	03	Abbaspel	AISI304		Diogo	Ronaldo	17-Jul-24	Engenharia		Revisado medidas do parafuso.	Conforme R1.	Erro.		R$ 100.00
32508	P32801M7001X006	1	1		040.791	Rebobinadeira	Fixador de tubetes		Seta indicadora	01	Penha B.A.	SAE1020		João Vitor Pucci	Ronaldo	18-Jul-24	Engenharia		"Correção de cor, estava azul e o correto é laranja."	Conforme R1.	Erro.		R$ 100.00
32509	P32801M7001X012		1		040.791	Rebobinadeira	Fixador de tubetes		Suporte cilindro limitador	01	Penha B.A.	SAE1020		João Vitor Pucci	Ronaldo	18-Jul-24	Engenharia		"Correção de cor, estava azul e o correto é laranja."	Conforme R1.	Erro.		R$ 100.00
32510	P32801M7001X009	1	1		040.791	Rebobinadeira	Fixador de tubetes		Suporte do cilindro cursos	01	Penha B.A.	SAE1020		João Vitor Pucci	Ronaldo	18-Jul-24	Engenharia		Correção da cor da peça estava azul e o correto é laranja.	Conforme R1.	Erro.		R$ 100.00
32511	P32801M7001X038	1	1		040.791	Rebobinadeira	Fixador de tubetes		Suporte graxeira limitador	01	Penha B.A.	SAE1020		João Vitor Pucci	Ronaldo	18-Jul-24	Engenharia		Correção da cor estava azul e o correto é laranja.	Conforme R1.	Erro.		R$ 100.00
32512	P32801M7001X039	1	1		040.791	Rebobinadeira	Fixador de tubetes		Suporte graxeiro	01	Penha B.A.	SAE1020		João Vitor Pucci	Ronaldo	18-Jul-24	Engenharia		Correção da cor estava azul e o correto é laranja.	Conforme R1.	Erro.		R$ 172.00
32513	P26600M7001M000	1	1		040.205	Rebobinadeira	Montagem		Plataforma	01	MR Paper	SAE1020		Luiz Guilherme Souza	Ronaldo	18-Jul-24	Engenharia		Alterado posição 6 e acrescentado posição 11.	Conforme R1.	Erro.		R$ 100.00
32514	P266600M7001M008	1	1		040.205	Rebobinadeira	Conjjunto escada		Copro escada	01	MR Paper	SAE1020		Luiz Guilherme Souza	Ronaldo	18-Jul-24	Engenharia		Retirado posição 5.	Conforme R1.	Erro de projeto.		R$ 100.00
32515	P26600M7001M005	1	1		040.205	Rebobinadeira	Conjunto plataforma		Conjunto escada	01	MR Paper	SAE1020		Luiz Guilherme Souza	Ronaldo	18-Jul-24	Engenharia		Alteração posição 1.	Conforme R1.	Erro.		R$ 100.00
32516	P0010317301G002	3	1		040.061	Cilindro secador 3600	Corpo do raspador crepador		Chapas dobradas	02	Abbaspel	SAE1020		Daiane Pedroso Bueno	Ronaldo	18-Jul-24	Engenharia		"Corrigido medida da dobra peça 2, conforme planificação."	Conforme R1.	Erro.		R$ 100.00
32517	P0010317301G001	3	2		040.061	Cilindro secador 3600	Raspador crepador		Corpo	01	Abbaspel	SAE1020		Daiane Pedroso Bueno	Ronaldo	18-Jul-24	Engenharia		"Revisado posiçãio 4, 5 e 6."	Conforme R2.	Erro de projeto.		R$ 100.00
32518	P0010317302G001	3	2		040.061	Cilindro secador 3600	Raspador de corte		Corpo	01	Abbaspel	SAE1020		Daiane Pedroso Bueno	Ronaldo	18-Jul-24	Engenharia		"Revisado posição 4, 5 e 6."	Conforme R2.	Erro.		R$ 100.00
32519	P00003A4408H000	1	1		041.108	Rebobinadeira	Baixador de bobinas		Cilindro Ø56	02	Novacki			Mário Dolato Neto	Ronaldo	19-Jul-24	Engenharia		"Alterado oring posição 3, era 2,5 mudou para 3mm."	Conforme R1.	Erro.		R$ 100.00
32520	P1860416701M0546	4	0		041.052	Passadiço	Módulo 910x1740 mod.2		Portão 740 x 1000	02	Imporpel	SAE1020		Luiz Guilherme Souza	Ronaldo	20-Jul-24	Engenharia		Pediu na legenda posição 3.	Corrigir legenda.	Erro.		R$ 100.00
32521	P21001L3901M002	1	1		040.296	Rolo estanga	Mancal LA / LC	MI 2348	Corpo do mancal	02	Jaepel	SAE1045		Fundição Campos Gerais	Ronaldo	20-Jul-24	Terceiros		Falha de fundição 02 peças.	Peça nova.	Falha de fundição.		R$ 100.00
32522	P266600M7001V010	1	1		040.205	Rebobianadeira	Instalação pneumática		Pré pipping pneumático	01	MR Paper	Comercial		João Vitor Pucci	Ronaldo	22-Jul-24	Engenharia		Quantidade de tubo flexivel azul Ø10mm aumentado para 350mm.	Conforme R1.	Erro.		R$ 100.00
32523	P18703H6301P003	3	1		030.314	Prensa úmida	Dispositivo refrigeração		Suporte pescador	02	Incopa	AISI304L		Mário Dolato Neto	Ronaldo	23-Jul-24	Engenharia		Diminuido 10mm do comprimento total da peça.	Conforme R1.	Erro de projeto.		R$ 100.00
32524	P28202E3101T00	2	1		041.124	Engrossador massa	Tambor	AISI304L	Alteração tambor	01	Novacki	AISI304L		Daiane Pedroso Bueno	Ronaldo	23-Jul-24	Engenharia		"Revisado posição 1, 8, 9, 10 e 12 e acrescentado posição 13."	Conforme R1.	Erro.		R$ 100.00
32525	P000103017301P001	3	1		040.061	Cilidnro secador	Raspador crepador		Apoio superior	01	Abbaspel	AISI304		Daiane Pedroso Bueno	Ronaldo	23-Jul-24	Engenharia		Acrescentado cotas de referência.	Conforme R1.	Erro.		R$ 100.00
32526	P1870317301P003	3	1		030.314	Raspador crepador	Porta lâmina		Apoio superior	01	Incopa	AISI304L		Cida	Ronaldo	23-Jul-24	Engenharia		Acrescentado cotas.	Conforme R1.	Erro.		R$ 100.00
32531	D01000A7301G004	1	0		040.695	Drum dryer	Raspador crepador		Ponteira	02	JBS	AISI304L		Claudio Bettega	Ronaldo	24-Jul-24	Produção	Usin. Cilíndrica Convencional	Pedia no desneho 350mm da face do flange na face da ponteira e ficou com 355mm.	Cortar flange.	Erro.		R$ 100.00
32532	P32408M7001X013	8	0		040.810	Rebobiandeira	Fixador de tubetes		Ponta do eixo cônica	02	Paraibuna	SAE4140		Leandro de Brito Barbosa	Ronaldo	24-Jul-24	Produção	Usin. Cilíndrica CNC	"Pedia no desenho ajuste de Ø30mm (+0,010 / +0,005) e ficou com -0,10."	Nova.	Erro de usinagem.		R$ 100.00
32533	P28101E3101D001	2	1		040.507	Engrossador de massa	Esticador correia		Suporte	01	Novacki	AISI304L		Cláudio Brandão	Ronaldo	25-Jul-24	Engenharia		Oblongar furo Ø18 com 29mm.	Conforme R1.	Erro.		R$ 100.00
32534	P28101E3101D001	1	1		040.262	Engrossador de massa	Esticador correia		Suporte	01	Novacki	AISI304L		Cláudio Brandão	Ronaldo	25-Jul-24	Engenharia		Oblongar furo Ø18mm com medida de 29mm.	Conforme R1.	Erro.		R$ 100.00
32535	P28202E31017007	2	2		041.124	Engrossador massa	Tambor		Alteração na camisa LA	01	Novacki	AISI304L		Cida	Ronaldo	25-Jul-24	Engenharia		Acrescentado posição 7.	Conforme R2.	Erro.		R$ 100.00
32536	P28202E3101T006	2	2		041.124	Engrossador massa	Tambor		Alteração camisa LC	1	Novacki	AISI304L		Cida	Ronaldo	25-Jul-24	Engenharia		Acrescentado posição 7.	Conforme R1.	Erro.		R$ 100.00
32537	P32101M7001A002	1	1		040.724	Rebobinadeira	Eixo flutuante		Tubo de ligação Ø139x70	02	Papelão União	SAE1020		Diogo	Ronaldo	25-Jul-24	Engenharia		Retirado tolerância no Ø128mm.	Conforme R1.	Erro.		R$ 100.00
32538	P42100M7001C002		1		041.077	Suporte de facas	Montagem		Base do suporte	02	Top Paper	SAE1020		Diogo	Ronaldo	25-Jul-24	Engenharia		Alterado desenho conforme ultima revisão.	Conforme R1.	Erro.		R$ 100.00
32540	P37901L8001R010	1	1		040.908	Enroladeira	Montagem		Manutenção rolo curvo Ø165	01	São Carlos			João Vitor Pucci	Ronaldo	26-Jul-24	Engenharia		Adicionado revisçao na posição 18 durante a correção de medida do eixo.	Conforme R1.	Erro.		R$ 100.00
32541	P379018001R004	1	1		040.908	Rolo curvo	Manutenção		Eixo	01	São Carlos	SAE1045		João Vitor Pucci	Ronaldo	26-Jul-24	Engenharia		Correção de medida entre pontas do eixo para 3040mm estava 3140mm no desenho.	Conforme R1.	Erro.		R$ 100.00
32542	P26600L2401F000	1	1		040.205	Desenrolador duplo	Freio		Conjunto	01	MR Paper	SAE1020		Cintia das Graças Kosiba	Ronaldo	29-Jul-24	Engenharia		Inclusão da posição 8 e 9.	Conforme R1.	Erro.		R$ 100.00
32543	P06501C2004R001	1	1		040.802	Centrisorter	Rotor GHC2		Modificação corpo do rotor	01	AFT do Brasil	AISI304		João Vitor Pucci	Ronaldo	29-Jul-24	Engenharia		"Inclusão de itens 5 e 6 flange superior e tuchos de Ø1.1/4"" x32."	Conforme R1.	Erro.		R$ 100.00
32544	P32901C6001G001	1	0		041.133	Peneira vibratória	Montagem	274	Mancal LA	01	Penha C.V.	EM-GJL-200		Fundição Campos Gerais	Ronaldo	29-Jul-24	Terceiros		Peça não conforme o desenho.	Nova.	Erro.		R$ 100.00
32545	P281013101D000	2	2		040.507	Engrossador massa	Montagem		Esticador correia	01	Novacki	AISI304L		Cláudio Brandão	Ronaldo	29-Jul-24	Engenharia		"Nova revisão posição 5, alterado comprimento parafuso posição 11 e acrescentado posição 13, 14 e 15."	Conforme revisão.	Erro.		R$ 100.00
32546	P28101E3101D000	1	2		040.262	Engrossador massa	Montagem		Esticador de correia	01	Novacki	AISI304L		Cláudio Brandão	Ronaldo	29-Jul-24	Engenharia		"Revisado posição 5 e alterado comprimento parafuso posição 11 e acrescentado posição 13, 14 e 15."	Conforme R2.	Erro.		R$ 100.00
32547	P28101E3101D001	2	2		040.507	Engrossador de massa	Esticador		Suporte	01	Novacki	AISI304L		Cláudio Brandão	Ronaldo	29-Jul-24	Engenharia		Adicionado janela de acesso par afixação da correia.	Conforme R2.	Erro.		R$ 100.00
32548	P28101E3101D001	1	2		040.262	Engrossador massa	Esticador de correia		Suporte	01	Novacki	AISI304L		Cláudio Brandão	Ronaldo	29-Jul-24	Engenharia		Adicionado janela de acesso para fixação da correia.	Conforme R2.	Erro.		R$ 100.00
32549	P28101E3101V001	2	1		040.507	Engrossador massa	Avulsos		Proteção eixo	01	Novacki	SAE1020		Daiane Pedroso Bueno	Ronaldo	29-Jul-24	Engenharia		Revisado para ser bipartido peça 6.	Conforme R1.	Erro.		R$ 100.00
32551	P18703H3301G003	3	1		030.314	Condicionamento de feltro	Esticador feltro		Chapa base	02	Incopa	SAE1020		Isabely Barbosa	Ronaldo	30-Jul-24	Engenharia		Inclusão de canal de chaveta.	Conforme R1.	Erro.		R$ 100.00
32552	P28101E1601G001	2	1		040.507	Engrossador montagem	Chuveiro de limpeza		Conjunto montagem	01	Novacki	AISI304L		Ricardo Mauda	Ronaldo	30-Jul-24	Engenharia		Acréscimo da posição 7.	Conforme R1.	Erro.		R$ 100.00
32553	P42100M7001C003		0		041.077	Suporte de faca	Porta faca		Fixação	01	Top Paper	SAE1020		Diogo	Ronaldo	30-Jul-24	Engenharia		Pediu 5 peças e o correto é 2 peças.	Corrigir quantidade.	Erro.		R$ 100.00
32554	P28101E1601G00	1	1		040.262	Engrossador massa	Chuveiro		Conjunto nontagem	01	Novacki	AISI304L		Daiane Pedroso Bueno	Ronaldo	30-Jul-24	Engenharia		Acréscimo da posição 7.	Conforme R1.	Erro.		R$ 100.00
32555	P26600M7001U007	1	3		040.205	Rebobiandeira	Intalação pneumátca		Painel pneumático	01	MR Paper	Comercial		Leonardo Kremer	Ronaldo	30-Jul-24	Engenharia		Acrescentado posição 65.	Conforme R3.	Erro.		R$ 100.00
32556	P332001G8102G047	1	1		031.962	Manutenção rolo sucção	Caixa de sucção		Caldeiraria corpo da caixa	01	Placibras	AISI304L		Joacir	Ronaldo	30-Jul-24	Engenharia		Correção de quantidade na posição 13 pediu 01 peça e o correto é 02.	Conforme R1.	Erro.		R$ 100.00
32557	P004001D2001M012	1	3		040.521	Depurador vertical	Mancal		Corpo do mancal	01	Penha C.V.	AISI304		João Vitor Pucci	Ronaldo	30-Jul-24	Engenharia		"Retirado tubo Ø10mm, pois a fixação era de soldagem e passou a ser de rosca."	Conforme R3.	Alteração.		R$ 100.00
32558	P00401D2001M021	1	1		040.521	Depurador vertical	Corpo do mancal		Tubo de entrada de graxa	01	Penha C.V.	AISI304L		João Vitor Pucci	Ronaldo	30-Jul-24	Engenharia		"Alteração na forma construtiva, inclusão de tucho da posição 2."	Conforme R1.	Alteração projeto.		R$ 100.00
32559	P3290118201M000	1	1		041.026	Secagem	Rolo guia		Conjunto mancal	03	Penha CV			Isabely Barbosa	Ronaldo	30-Jul-24	Engenharia		Alteração do diâmetro do oring da posição 1.	Conforme R1.	Correção.		R$ 100.00
32560	P26100A001G001		0		040.559	Ventilador	Manutenção		Modificação da base	01	Mili	AISI304L		Felipe de Abreu Santos	Ronaldo	30-Jul-24	Produção	Usinagem Plana	Erro de usinagem peça da posição 2.	Cortar peça nova.	Erro.		R$ 100.00
32561	P28101E3101K010	1	1		040.262	Engrossador massa	Pick up		Braço LC	01	Novacki	SAE1020		Ricardo Mauda	Ronaldo	30-Jul-24	Engenharia		Alterado medida de altua da furação de fixação da proteção e adicionado usinagem de limpeza na face de contato com a proteção.	Conforme R1.	Erro.		R$ 100.00
32562	P28101E3101K010	2	1		040.507	Engrossador massa	Pick up		Braço LC	01	Novacki	SAE1020		Ricardo Mauda	Ronaldo	30-Jul-24	Engenharia		Alterado medida de altura da furação de fixação da proteção e adicionado usinagem de limpeza na face de contato com a proteção.	Conforme R1.	Erro.		R$ 100.00
32563	P28101A3101K012	1	1		040.262	Engrossador de massa	Pick up		Braço LA	01	Novacki	SAE1020		Ricardo Mauda	Ronaldo	30-Jul-24	Engenharia		Alterado medida da furação de fixação da proteção e adicionado usinagem de limpeza na face de contato com a proteção.	Conforme R1.	Erro.		R$ 100.00
32564	P28101E3101K012	2	1		040.507	Engrossador massa	Pick up		Braço LA	01	Novacki	SAE1020		Ricardo Mauda	Ronaldo	30-Jul-24	Engenharia		Alterado medida de altura da furação de fixação da proteção e adicionado usinagem de limpeza na face de contato com a proteção.	Conforme R1.	Erro.		R$ 100.00
32565	P00401G1001F000	1	2		031.897	Caixa de entrada	Caixa de entrada		Limitado r de formato	01	ADF	AISI304L		Matheus de Souza Silva	Ronaldo	30-Jul-24	Engenharia		Alterado itens 20 e 23 de rosca parcial para total.	Conforme R1.	Erro.		R$ 100.00
32566	P32901D2001M000	1	2		040.521	depurador vertical	Montagem		Conjunto mancal	01	Penha C.V.	AISI304L		João Vitor Pucci	Ronaldo	31-Jul-24	Engenharia		Adicionado tubo de entrada de graxa posição 38.	Conforme R2.	Alteração de projeto.		R$ 100.00
32567	P42602H6301R005	2	1		041.119	Rolo prensa	Rolo		Parafuso M24x90	60	Transriver	Comercial		Diogo	Ronaldo	31-Jul-24	Engenharia		Alterado classe do parafuso de 8.8 para 10.9.	Conforme R1.	Alteração projeto.		R$ 100.00
32568	P33200114901G007	1	1		040.323	Caixa estabilizadora	Montagem corpo da caixa		Chpa dobrada 6	01	Placibras	AISI304L		José Israel	Ronaldo	31-Jul-24	Engenharia		"Alterado posição do rasgo para 370,1mm."	Conforme R1.	Erro.		R$ 183.00
32569	P03500A0001G001	1	0		040.994	Refinador de discos	Reforma		Redorma carcaça	01	B.O Paper	AISI304L		Vagner da Silva	Ronaldo	31-Jul-24	Engenharia		"Pedia no desenho #3/16"" x 1185 e a peça existente está com 1055mm."	Recortar.	Erro.		R$ 100.00
32570	P03500A0001G002		0		040.994	Refiandor de discos	Manuntenção do refinador		Reforma da tampa	01	B.O Paper	AISI304		Vagner da Silva	Ronaldo	31-Jul-24	Engenharia		"Pediu no desenho #3/16"" Ø1185 e a peça existente está com Ø1063mm."	Recortar.	Erro.		R$ 100.00
32571	P00000A0305G001	1	0		031.897	Lábio inferior	Atuador mecânico	2642	Carcaça inox	02	 ADF	AISI304		Full Tech	Ronaldo	31-Jul-24	Terceiros		Peça não conforme indica desenho.	Nova.	Erro.		R$ 100.00
32575	P33201I4901G031		1		040.323	Caixa de transferência	Montagem		Braço LA	01	Placibras	AISI304L		Cláudio Brandão	Ronaldo	01-Aug-24	Engenharia		Correção na legenda posição 10 para AISI304L estava SAE1020.	Cortar peça nova.	Erro na legenda.		R$ 100.00
32576	P332001I4901G030	1	0		040.323	Caixa transferência	Montagem		Braço LC	01	Placibras	AISI304L		Cláudio Brandão	Ronaldo	01-Aug-24	Engenharia		Correção na legenda psoição 10 para AISI304L estava SAE1020.	Cortar peça nova.	Erro.		R$ 100.00
32578	P32901C6001G001	1	0		041.133	Peneira vibratória	Montagem	274	Mancal LA	01	Penha C.V.	ENGJL-200		Fundição Campos Gerais	Ronaldo	01-Aug-24	Terceiros		Falha de fundição.	Nova.	Falha de fundição.		R$ 100.00
32581	P28101C3101Q012	2	1		040.507	Engrossador massa	Calha saida de massa		Reforço interno	03	Novacki	AISI304L		Cláudio Brandão	Ronaldo	05-Aug-24	Engenharia		Recortar e acrescentar peça posição 3.	Conforme R1.	Erro.		R$ 100.00
32582	P28101C3101Q012	1	1		040.262	Engrossador massa	Calha saida de massa		Reforço interno	03	Novacki	AISI304L		Cláudio Brandão	Ronaldo	05-Aug-24	Engenharia		Recortar e acrescentar posição 3.	Conforme R1.	Erro.		R$ 100.00
32583	P26100C2001		1		041.068	Moduscreen	Montagem		Rotor	01	Mili	AISI304L		Matheus de Souza Silva	Ronaldo	05-Aug-24	Engenharia		Correção na cota de planificação posição 5 de 252mm e renovação de sobra das aletas.	Conforme R1.	Erro.		R$ 100.00
32584	P00401G2701C003		1		031.897	Atenuador de pulsação	Corpo do atenuador		Tubulação de saida	28	ADF	AISI304L		Matheus de Souza Silva	Ronaldo	05-Aug-24	Engenharia		Alterado forma construtiva para tubo dobrado.	Conforme R1.	Alteração da forma construtiva.		R$ 100.00
32585	P32408G2701C002	1	0		031.897	Corpo atenuador	Tubulação de saída		Ponteira	28	ADF	AISI304L		Matheus de Souza Silva	Ronaldo	05-Aug-24	Engenharia		Desenho cancelado.	Guardar peças no estoque.	Alterado forma construtivo.		R$ 100.00
32586	P32901C6001G001	1	0		041.133	Peneira vibratória	Montagem	274	Mancal LA	01	Penha CV	ENGJL-200		Fundição Campos Gerais	Ronaldo	02-Aug-24	Terceiros		Falha de fundição.	Peça nova.	Falha de fundição.		R$ 100.00
32587	P32901C60101G001	1	0		041.133	Peneira vibratória	Montagem	274	Mancal LA	01	Penha CV	ENGJL-200		Fundição Campos Gerais	Ronaldo	05-Aug-24	Terceiros		Falha de fundição.	Nova.	Falha de fundição.		R$ 100.00
32588	P21001L3901M002	1	0		040.296	Rolo estanga	Mancal LA /LC	MI 2348	Corpo do mancal	02	Jaepel	SAE1045		Dtec	Ronaldo	05-Aug-24	Terceiros		Falha de fundição.	Fundir nova.	Falha de fundição.		R$ 100.00
32589	P23216B2101A005	16	2		040.584	Desagregador	Acionamento		Proteção correia	01	Klabin T.B.	SAE1020		Cláudio Brandão	Ronaldo	05-Aug-24	Engenharia		Corrigido ângulo de dobra da posição 01 e21.	Conforme R2.	Erro.		R$ 100.00
32590	P32901C9101A001	1	1		040.983	Turbo separador	Acionamento		Polai movida	01	Penha C.V.	ENGL250		Mário Dolato Neto	Ronaldo	06-Aug-24	Engenharia		Alterado chaveta para polai coônica.	Conforme R1.	Alteração.		R$ 100.00
32591	P32901C9101A001	1	2		040.983	Turbo separador	Acionamento	MI 2535	Polia movida	01	Penha C.V.	ENGJL250		Mário Dolato Neto	Ronaldo	06-Aug-24	Engenharia		Adicionado profundidade da chaveta e acrescentado cotas de canais.	Conforme R2.	Falta de cotas.		R$ 100.00
32592	P23216B2101A001	16	0		041.113	Desagregador	Acionamento		Polia movida	01	Klabin T.B.	SAE1020		Cláudio Brandão	Ronaldo	07-Aug-24	Engenharia		Pediu no desenho 20mm de sobremetal.	Usinar.	Erro.		R$ 700.00
32593	P281001C3101Q012	2	2		040.507	Engrossador massa	Calha saida de massa		Reforço interno	03	Novacki	AISI304L		Cláudio Brandão	Ronaldo	07-Aug-24	Engenharia		Recortar para corrigir interferência com a calha.	Conforme R2.	Erro.		R$ 100.00
32594	P28101C3101Q012	2	2		040.262	Engrossador massa	Calha saida de massa		Reforço interno	03	Novacki	AISI304L		Cláudio Brandão	Ronaldo	07-Aug-24	Engenharia		Recortar para corrigir interferência com a calha.	Conforme R2.	Erro.		R$ 100.00
32595	P09102L2401T000	2	1		032.022	Rebobinadeira	Desenrolador duplo		Tensionador de correia	01	Damapel	SAE1020		João Vitor Pucci	Ronaldo	07-Aug-24	Engenharia		Adcionado código da festo no cilindro e garfo.	Conforme R1.	Correção de legenda.		R$ 100.00
32596	P09102L2401D000	2	1		032.022	Desenrolador duplo	Montagem		Conjunto engate rápido	01	Damapel	SAE1020		Luiz Guilherme Souza	Ronaldo	07-Aug-24	Engenharia		"Alteraçlão fornecedor dos itens das posições 30, 31 e 32."	Conforme R1.	Alteração fornecedor.		R$ 100.00
32597	P28101C3101Q012	2	3		040.507	Engrossador de massa	calha de saida de massa		Reforço interno	03	Novacki	AISI304L		Cláudio Brandão	Ronaldo	07-Aug-24	Engenharia		Indicação de cotas para recorte na peça.	Conforme R3.	Falta de cotas.		R$ 100.00
32598	P28101C3101Q012	1	3		040.262	Engrossador de massa	Calha saida de massa		Reforço interno	03	Novacki	AISI304L		Cláudio Brandão	Ronaldo	07-Aug-24	Engenharia		Indicação de cota para recorte na peça.	Conforme R3.	Falta de cotas.		R$ 100.00
32599	P09102L2401L000	2	1		032.022	Desenrolador duplo	Desenrolador duplo		Conjunto desnivelador	01	Damapel	SAE1020		Ricardo Mauda	Ronaldo	08-Aug-24	Engenharia		"Revisado posição 3 e 8, alterado posição 15 e 16 de M10 para M8."	Conforme R1.	Erro.		R$ 100.00
32600	P09102L2401L002	2	1		032.022	Desenrolador duplo	Desnivelamento		Suporte do motoredutor	01	Damapel	SAE1020		Ricardo Mauda	Ronaldo	08-Aug-24	Engenharia		Alterado rosca de M10 para M8.	Conforme R1.	Erro.		R$ 100.00
32601	P28202E3101Q008	2	1		041.215	Engrossador massa	Avulsos		Sobreposta	02	Novacki	AISI304L		Diogo Borges	Ronaldo	08-Aug-24	Engenharia		Revisado forma construtiva.	Conforme R1.	Alteração de projeto.		R$ 100.00
32602	P05902B2101R015	2	1		040.822	Hidrapulper	Mancal	MI 1670	Anel labirinto	01	Citroplast	ENGL300		Matheus Tocantins	Ronaldo	08-Aug-24	Engenharia		Alteração de cor.	Conforme R1.	Erro.		R$ 100.00
32603	P05902B2101R030	2	1		040.822	Hidrapulper	Mancal	MI 1635	Anel de labirinto	01	Citroplast	ENGJL300		Matheus Tocantins	Ronaldo	08-Aug-24	Engenharia		Alteração da cor.	Conforme R1.	Erro.		R$ 100.00
32604	P44401I5701X001	1	1		040.707	Cilindro secador 3000	Extração condensado		Tubo coletor	02	Vinhedos	AISI304L		Daiane Pedroso Bueno	Ronaldo	08-Aug-24	Engenharia		Correção da indicação da rosca M20.	Conforme R1.	Erro.		R$ 100.00
32605	P3320114901G028	1	0		040.323	Caixa estabilizadora	Montagem		Defletor 4	01	Placibras	AISI304L		José Israel	Ronaldo	09-Aug-24	Engenharia		Erro detalhe de corte.	Corrigir detalhe de corte.	Erro detalhe de corte.		R$ 100.00
32606	P33201I4901G040	1	1		040.323	Conjunto da caixa	Montagem		Conjunto da caixa	01	Placibras	AISI304L		José Israel	Ronaldo	10-Aug-24	Engenharia		Alterado arruela posição 17 de Ø12 para Ø10mm.	Conforme R1.	Erro.		R$ 100.00
32607	P332001I4901G001	1	1		040.323	Caixa estabilizadora	Montagem		Corpo da caixa	01	Placibras	AISI304L		José Israel	Ronaldo	10-Aug-24	Engenharia		"Alterado rosca 1/8"" NPT para 1/4"" BSP."	Conforme R1.	Erro.		R$ 100.00
32608	P26600L2401X029	2	1		032.022	Desenrolador duplo	Cabeçote fixador LA		Camisa LA	01	Damapel	ENGJS400		Luiz Guilherme Souza	Ronaldo	10-Aug-24	Engenharia		Correção quantidade de 2 para 1 unidade.	Conforme R1.	Correção de quantidade.		R$ 100.00
32609	P3320114901G028	1	1		040.323	Caixa estabilizadora	Montagem		Defletor 4	01	Placibras	AISI304L		José Israel	Ronaldo	10-Aug-24	Engenharia		Alterado deatlhe de corte da peça 1.	Conforme R1.	Erro.		R$ 100.00
32610	P37801E3101K002	1	0		040.981	Engrossador massa	Cilindro pick up		"Castanha 22"""	02	Novacki	ENGL-200		Fundição Campos Gerais	Ronaldo	10-Aug-24	Terceiros		Modelo deslocado.	Nova.	Erro.		R$ 100.00
32613	P40100A0001G076		1		040.490	Mesa de giro	Montagem		Chapa 244x290	01	Suzano	SAE1020		Mário Dolato Neto	Ronaldo	12-Aug-24	Engenharia		Adicionado rebaixo furo Ø13.	Conforme R1.	Alteração projeto.		R$ 100.00
32614	P23216B2101V001	16	1		040.584	Desagregador	Avulsos		Suporte tamiz	01	Klabin T.B.	SAE1020		Cláudio Brandão	Ronaldo	12-Aug-24	Engenharia		Acrescentado cota Ø1450mm.	Conforme R1.	Erro.		R$ 100.00
32615	P09102M7001B001	2	1		032.022	Rebobinadeira	Baixador de bobinas		Caçamba	01	Damapel	SAE1020		Mário Dolato Neto	Ronaldo	13-Aug-24	Engenharia		Revisado dobras peça 1.	Conforme R1.	Alteração.		R$ 100.00
32617	P444015701M005	1	0		040.937	Cilindro secador 3000	Mancal LC	MI 2526 / 2527	Corpo do mancal LC	01	Vinhedos	ENGJL250		João Vitor Pucci	Ronaldo	13-Aug-24	Engenharia		"Pediu no encaixe da parte superior com a inferior 10 (+0,10 / +0,05) e o correto é -0,10."	Reusinar.	Erro de projeto.		R$ 100.00
32618	P23216B2101R001	16	0		040.584	Desagregador	Rotativo		Rotor Ø1195	01	Klabin CP	AISI304L		Silvio Moreira	Ronaldo	14-Aug-24	Produção	Usinagem Plana	Pedia no desenho rosca M16 e foi feito furo Ø16mm.	Soldar e refurar.	Erro.		R$ 100.00
